RemoteID;Description;Branch;Number_of_motors;M1_up;M1_down;M2_up;M2_down;M3_up;M3_down;M4_up;M4_down;M5_up;M5_down;Reset_up;Reset_down;Memory 1;Memory 2;Memory 3;Memory 4;Memoposition_save;Synch;Socket;UBL;Child_lock;Flashlight;Massage_program1;Massage_program2;Massage_program3;Massage_out;Show_massage_statistics;Zero Gravity;TV;Quiet Sleep;Flat;Tilt;Widget
82417;RF-TOPLINE SI/BK/BK/07;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82418;RF-TOPLINE SI/BK/BK/11;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
82620;RF-TOPLINE BK/BK/BK/07/H;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82634;RF-TOPLINE BK/BK/BK/11;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;y;n;y;y;n;n;n;n;n;n;n;n;y;n;n
82635;RF-TOPLINE BK/BK/BK/11/H;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;y;n;y;y;n;n;n;n;n;n;n;n;y;n;n
82755;RF-TOPLINE SI/BK/BK/03;bedding;1;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82757;RF-TOPLINE BK/BK/BK/07/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82760;RF-TOPLINE BK/BK/BK/07/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82764;RF-TOPLINE BK/BK/BK/07/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82767;RF-TOPLINE BK/BK/BK/07/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82770;RF-TOPLINE SI/BK/BK/07/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82785;RF-TOPLINE BK/BK/BK/11;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
82786;RF-TOPLINE SI/BK/BK/11/L;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
82790;RF-TOPLINE BK/BK/BK/11;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
82794;RF-TOPLINE BK/BK/BK/11/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;n;n;n;n;n;y;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82795;RF-TOPLINE BK/BK/BK/11/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;n;n;n;n;n;y;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82796;RF-TOPLINE SI/BK/BK/11/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;n;n;n;n;n;y;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82797;RF-TOPLINE BK/BK/BK/11/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;n;n;n;n;n;y;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
82799;RF-TOPLINE SI/BK/BK/11;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;n;n;n;n;n;y;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
83060;RF-TOUCH/BRW/BK/14/2182/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
83126;RF-TOUCH/BRW/BK/19/2114;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;y;n;y;y;y;y;y;y;y;y;y;y;n;n;n;n;y;n;n
83219;RF-TOUCH/BRW/BK/24/2068/-;bedding;4;y;y;y;y;y;y;y;y;n;n;n;y;y;y;y;n;y;y;y;y;y;y;y;y;y;y;n;n;n;n;y;n;n
83358;RF-TOPLINE BK/BK/BK/07;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n
